"V1"	"ncbi_host_broad"	"ncbi_host_specific"	"n_members"	"n_concordant"	"pct_concordant"
"KF006398.1_105_1334"	"Human"	"Human"	3	1	0.333333333333333
"M32305.1_60_1277"	"Human"	"Human"	12	4	0.333333333333333
"MF588732.1_78_1280"	"Human"	"Human"	6	2	0.333333333333333
"MF588744.1_93_1292"	"Human"	"Human"	6	2	0.333333333333333
"MG921179.1_48_1259"	"Human"	"Human"	3	1	0.333333333333333
"X70829.1_102_1310"	"Human"	"Human"	93	20	0.21505376344086
"MH777222.1_96_1295"	"Human"	"Human"	20	3	0.15
"AF020905.1_135_1310"	"Human"	"Human"	1	0	0
"BK066697.1_72_1274"	"Human"	"Human"	6	0	0
"GQ246950.1_129_1313"	"Human"	"Human"	1	0	0
"KJ130020.1_96_1313"	"Human"	"Human"	4	0	0
"MH172377.1_60_1277"	"Human"	"Human"	1	0	0
"MH745747.1_75_1283"	"Human"	"Human"	1	0	0
"MH745748.1_432_1601"	"Human"	"Human"	1	0	0
"MH777203.2_141_1331"	"Human"	"Human"	1	0	0
"MQ011419.1_45_1217"	"Human"	"Human"	1	0	0
"MW311489.1_135_1352"	"Human"	"Human"	1	0	0
"NC_001693.1_132_1334"	"Human"	"Human"	3	0	0
"OP721228.1_162_1364"	"Human"	"Human"	1	0	0
"BK066355.1_237_1415"	"Bat"	"Bat"	6	6	1
"BK066482.1_51_1244"	"Bat"	"Bat"	1	1	1
"BK066590.1_81_1289"	"Bat"	"Bat"	1	1	1
"BK066597.1_516_1694"	"Bat"	"Bat"	1	1	1
"BK066692.1_51_1256"	"Bat"	"Bat"	1	1	1
"BK066786.1_51_1235"	"Bat"	"Bat"	1	1	1
"BK066831.1_93_1304"	"Bat"	"Bat"	1	1	1
"JX885601.1_78_1280"	"Bat"	"Bat"	2	2	1
"KX276957.1_117_1319"	"Bat"	"Bat"	1	1	1
"KX434763.1_90_1286"	"Bat"	"Bat"	1	1	1
"KX812447.1_174_1385"	"Bat"	"Bat"	1	1	1
"MN329804.1_99_1325"	"Bat"	"Bat"	1	1	1
"MT766314.1_51_1235"	"Bat"	"Bat"	1	1	1
"MW922427.1_63_1286"	"Bat"	"Bat"	1	1	1
"OL704823.1_174_1382"	"Bat"	"Bat"	1	1	1
"OL704824.1_93_1298"	"Bat"	"Bat"	1	1	1
"OL704825.1_126_1328"	"Bat"	"Bat"	1	1	1
"OR952772.1_84_1274"	"Bat"	"Bat"	1	1	1
"OR952775.1_51_1223"	"Bat"	"Bat"	2	2	1
"OR952776.1_150_1337"	"Bat"	"Bat"	3	3	1
"OR952778.1_51_1226"	"Bat"	"Bat"	2	2	1
"OR952779.1_153_1349"	"Bat"	"Bat"	1	1	1
"OR952781.1_51_1226"	"Bat"	"Bat"	1	1	1
"OR952788.1_57_1250"	"Bat"	"Bat"	1	1	1
"OR952790.1_96_1286"	"Bat"	"Bat"	1	1	1
"OR952792.1_6_1199"	"Bat"	"Bat"	1	1	1
"OR952793.1_51_1265"	"Bat"	"Bat"	1	1	1
"OR952795.1_135_1325"	"Bat"	"Bat"	1	1	1
"OR952799.1_57_1253"	"Bat"	"Bat"	1	1	1
"OR952801.1_54_1247"	"Bat"	"Bat"	1	1	1
"OR952809.1_60_1244"	"Bat"	"Bat"	1	1	1
"OR952810.1_36_1220"	"Bat"	"Bat"	1	1	1
"OR952812.1_270_1442"	"Bat"	"Bat"	2	2	1
"OR952813.1_60_1244"	"Bat"	"Bat"	2	2	1
"OR952816.1_51_1235"	"Bat"	"Bat"	1	1	1
"OR952817.1_96_1268"	"Bat"	"Bat"	1	1	1
"OR952825.1_51_1223"	"Bat"	"Bat"	3	3	1
"OR952826.1_102_1316"	"Bat"	"Bat"	3	3	1
"OR952828.1_36_1223"	"Bat"	"Bat"	1	1	1
"OR952831.1_12_1190"	"Bat"	"Bat"	1	1	1
"OR952832.1_51_1223"	"Bat"	"Bat"	2	2	1
"OR952834.1_51_1223"	"Bat"	"Bat"	2	2	1
"OR952835.1_51_1217"	"Bat"	"Bat"	1	1	1
"OR952837.1_54_1253"	"Bat"	"Bat"	1	1	1
"OR952838.1_51_1235"	"Bat"	"Bat"	1	1	1
"OR952840.1_51_1226"	"Bat"	"Bat"	1	1	1
"OR952847.1_51_1238"	"Bat"	"Bat"	1	1	1
"OR952850.1_132_1328"	"Bat"	"Bat"	2	2	1
"OR952853.1_321_1505"	"Bat"	"Bat"	1	1	1
"OR952854.1_84_1274"	"Bat"	"Bat"	2	2	1
"OR952855.1_81_1265"	"Bat"	"Bat"	1	1	1
"OR952856.1_204_1397"	"Bat"	"Bat"	1	1	1
"OR952858.1_75_1256"	"Bat"	"Bat"	1	1	1
"OR952863.1_51_1241"	"Bat"	"Bat"	1	1	1
"OR952864.1_9_1196"	"Bat"	"Bat"	1	1	1
"OR952867.1_51_1235"	"Bat"	"Bat"	1	1	1
"OR952872.1_51_1235"	"Bat"	"Bat"	1	1	1
"OR952878.1_93_1265"	"Bat"	"Bat"	1	1	1
"OR952880.1_0_1196"	"Bat"	"Bat"	1	1	1
"OR952883.1_183_1391"	"Bat"	"Bat"	1	1	1
"OR952887.1_84_1274"	"Bat"	"Bat"	2	2	1
"OR952892.1_81_1271"	"Bat"	"Bat"	3	3	1
"OR952893.1_126_1328"	"Bat"	"Bat"	1	1	1
"OR952895.1_120_1310"	"Bat"	"Bat"	1	1	1
"OR952899.1_198_1397"	"Bat"	"Bat"	2	2	1
"OR952900.1_78_1250"	"Bat"	"Bat"	1	1	1
"OR952901.1_108_1295"	"Bat"	"Bat"	1	1	1
"OR952902.1_72_1256"	"Bat"	"Bat"	2	2	1
"OR952905.1_78_1265"	"Bat"	"Bat"	1	1	1
"OR952906.1_108_1304"	"Bat"	"Bat"	1	1	1
"OR952911.1_114_1310"	"Bat"	"Bat"	1	1	1
"OR952921.1_75_1262"	"Bat"	"Bat"	1	1	1
"OR952922.1_84_1271"	"Bat"	"Bat"	1	1	1
"OR952861.1_69_1205"	"Bat"	"Bat"	1	0	0
"AB331650.1_144_1325"	"Bovine"	"Bovine"	16	16	1
"AB331651.1_309_1508"	"Bovine"	"Bovine"	14	14	1
"AB845589.1_75_1262"	"Bovine"	"Bovine"	11	11	1
"AX033802.1_42_1217"	"Bovine"	"Bovine"	3	3	1
"DQ217793.1_51_1253"	"Bovine"	"Bovine"	12	12	1
"GQ471901.1_138_1322"	"Bovine"	"Bovine"	3	3	1
"JF834523.1_75_1262"	"Bovine"	"Bovine"	1	1	1
"KY705374.1_117_1295"	"Bovine"	"Bovine"	2	2	1
"MG252779.1_57_1223"	"Bovine"	"Bovine"	1	1	1
"MH512005.1_45_1241"	"Bovine"	"Bovine"	1	1	1
"MW393860.1_48_1235"	"Bovine"	"Bovine"	1	1	1
"MW401531.1_156_1325"	"Bovine"	"Bovine"	1	1	1
"MW404257.1_90_1268"	"Bovine"	"Bovine"	2	2	1
"MW404258.1_90_1268"	"Bovine"	"Bovine"	3	3	1
"MW428425.1_90_1274"	"Bovine"	"Bovine"	2	2	1
"MW428429.1_90_1283"	"Bovine"	"Bovine"	2	2	1
"MW436430.1_57_1277"	"Bovine"	"Bovine"	6	6	1
"MW543422.1_45_1211"	"Bovine"	"Bovine"	1	1	1
"AB626705.1_54_1229"	"Bovine"	"Bovine"	20	3	0.15
"KU350625.1_132_1298"	"Bovine"	"Bovine"	1	0	0
"BK066366.1_114_1298"	"Canine"	"Canine"	4	4	1
"BK066390.1_87_1268"	"Canine"	"Canine"	27	27	1
"BK066588.1_96_1274"	"Canine"	"Canine"	1	1	1
"BK066644.1_102_1298"	"Canine"	"Canine"	1	1	1
"BK066654.1_117_1301"	"Canine"	"Canine"	1	1	1
"BK066742.1_150_1337"	"Canine"	"Canine"	1	1	1
"BK066769.1_138_1316"	"Canine"	"Canine"	7	7	1
"BK066790.1_84_1265"	"Canine"	"Canine"	2	2	1
"BK066791.1_117_1295"	"Canine"	"Canine"	4	4	1
"EF584537.1_162_1331"	"Canine"	"Canine"	1	1	1
"FJ492743.1_66_1250"	"Canine"	"Canine"	6	6	1
"HQ262536.1_114_1286"	"Canine"	"Canine"	2	2	1
"JF800656.1_282_1466"	"Canine"	"Canine"	3	3	1
"JQ701802.1_84_1259"	"Canine"	"Canine"	1	1	1
"JX141478.1_123_1301"	"Canine"	"Canine"	7	7	1
"JX899359.1_123_1304"	"Canine"	"Canine"	1	1	1
"KF857586.1_96_1286"	"Canine"	"Canine"	3	3	1
"KP099966.1_174_1358"	"Canine"	"Canine"	1	1	1
"KT901797.1_84_1268"	"Canine"	"Canine"	1	1	1
"KX599536.1_123_1298"	"Canine"	"Canine"	1	1	1
"MH285953.1_72_1247"	"Canine"	"Canine"	11	11	1
"MH285954.1_225_1397"	"Canine"	"Canine"	11	11	1
"AY722648.1_99_1274"	"Canine"	"Canine"	34	33	0.970588235294118
"D26115.1_84_1274"	"Canine"	"Canine"	34	33	0.970588235294118
"FJ492744.1_54_1244"	"Canine"	"Canine"	28	27	0.964285714285714
"MH285952.1_108_1289"	"Canine"	"Canine"	28	27	0.964285714285714
"BK066488.1_150_1340"	"Canine"	"Canine"	3	2	0.666666666666667
"DQ295066.1_93_1277"	"Canine"	"Canine"	2	1	0.5
"BK066393.1_90_1277"	"Rodent"	"Rodent"	2	2	1
"BK066449.1_204_1379"	"Rodent"	"Rodent"	1	1	1
"BK066744.1_195_1370"	"Rodent"	"Rodent"	1	1	1
"BK066757.1_75_1259"	"Rodent"	"Rodent"	1	1	1
"BK066775.1_66_1253"	"Rodent"	"Rodent"	1	1	1
"BK066866.1_63_1244"	"Rodent"	"Rodent"	1	1	1
"KY370096.1_87_1277"	"Rodent"	"Rodent"	1	1	1
"BK066384.1_135_1322"	"Rodent"	"Rodent"	36	35	0.972222222222222
"HG530538.1_81_1265"	"Rodent"	"Rodent"	7	5	0.714285714285714
"HQ625441.1_141_1316"	"Rodent"	"Rodent"	7	5	0.714285714285714
"MH892425.1_78_1268"	"Rodent"	"Rodent"	5	2	0.4
"KT945134.1_117_1292"	"Rodent"	"Rodent"	1	0	0
"ON932811.1_42_1232"	"Rodent"	"Rodent"	2	0	0
"ON932814.1_57_1232"	"Rodent"	"Rodent"	1	0	0
"BK066321.1_72_1274"	"Ray-finned Fish"	"Ray-finned Fish"	1	1	1
"BK066382.1_57_1217"	"Ray-finned Fish"	"Ray-finned Fish"	2	2	1
"BK066408.1_63_1328"	"Ray-finned Fish"	"Ray-finned Fish"	1	1	1
"BK066436.1_54_1310"	"Ray-finned Fish"	"Ray-finned Fish"	8	8	1
"BK066681.1_213_1511"	"Ray-finned Fish"	"Ray-finned Fish"	3	3	1
"BK066851.1_75_1304"	"Ray-finned Fish"	"Ray-finned Fish"	10	10	1
"MH617143.2_90_1316"	"Ray-finned Fish"	"Ray-finned Fish"	1	1	1
"MH617579.2_63_1271"	"Ray-finned Fish"	"Ray-finned Fish"	1	1	1
"MZ570859.1_168_1469"	"Ray-finned Fish"	"Ray-finned Fish"	1	1	1
"MH510267.2_282_1448"	"Ray-finned Fish"	"Ray-finned Fish"	4	3	0.75
"BK066885.1_96_1292"	"Ray-finned Fish"	"Ray-finned Fish"	2	0	0
"BK066727.1_186_1376"	"Avian"	"Avian"	2	2	1
"BK066545.1_63_1247"	"Avian"	"Avian"	4	0	0
"BK066795.1_45_1154"	"Amphibian"	"Amphibian"	4	4	1
"BK066841.1_57_1214"	"Amphibian"	"Amphibian"	1	1	1
"BK066884.1_180_1280"	"Amphibian"	"Amphibian"	14	14	1
"BK066894.1_9_1235"	"Amphibian"	"Amphibian"	1	1	1
"BK066335.1_159_1334"	"Feline"	"Feline"	2	2	1
"BK066374.1_111_1289"	"Feline"	"Feline"	4	4	1
"BK066472.1_117_1283"	"Feline"	"Feline"	1	1	1
"LC333412.2_96_1277"	"Feline"	"Feline"	1	1	1
"JX972168.1_72_1247"	"Feline"	"Feline"	11	8	0.727272727272727
"AF377865.1_192_1367"	"Feline"	"Feline"	3	2	0.666666666666667
"EU796884.1_147_1331"	"Feline"	"Feline"	26	10	0.384615384615385
"BK066513.1_87_1274"	"Feline"	"Feline"	6	2	0.333333333333333
"BK066462.1_78_1295"	"Feline"	"Feline"	4	1	0.25
"KY853656.1_60_1226"	"Feline"	"Feline"	4	0	0
"OL310516.1_78_1253"	"Feline"	"Feline"	3	0	0
"OR915584.1_84_1265"	"Feline"	"Feline"	2	0	0
"OR915587.1_135_1328"	"Feline"	"Feline"	1	0	0
"OR915589.1_51_1238"	"Feline"	"Feline"	1	0	0
"OR915590.1_87_1265"	"Feline"	"Feline"	1	0	0
"OR915591.1_66_1271"	"Feline"	"Feline"	2	0	0
"OR915593.1_132_1340"	"Feline"	"Feline"	1	0	0
"BK066797.1_69_1304"	"Cetacean"	"Cetacean"	3	3	1
"BK066876.1_99_1316"	"Cetacean"	"Cetacean"	2	2	1
"OP748391.1_462_1661"	"Cetacean"	"Cetacean"	1	1	1
"OP748392.1_81_1250"	"Cetacean"	"Cetacean"	1	1	1
"AY940040.1_24_1244"	"Cetacean"	"Cetacean"	2	0	0
"MG837557.1_60_1229"	"Non-human Primate"	"Non-human Primate"	1	1	1
"MG837558.1_156_1343"	"Non-human Primate"	"Non-human Primate"	1	1	1
"MG837559.1_99_1310"	"Non-human Primate"	"Non-human Primate"	1	1	1
"MN535763.1_57_1253"	"Non-human Primate"	"Non-human Primate"	3	3	1
"MN535764.1_96_1289"	"Non-human Primate"	"Non-human Primate"	1	1	1
"OP376964.1_60_1253"	"Non-human Primate"	"Non-human Primate"	1	1	1
"OP934207.1_114_1286"	"Non-human Primate"	"Non-human Primate"	3	3	1
"OP376965.1_108_1307"	"Non-human Primate"	"Non-human Primate"	4	3	0.75
"M15953.1_81_1262"	"Cervine"	"Cervine"	4	0	0
"BK066718.1_69_1232"	"Reptile"	"Reptile"	1	1	1
"MH605022.1_123_1304"	"Reptile"	"Reptile"	1	0	0
"MN117918.1_84_1265"	"Equine"	"Equine"	1	1	1
"OP699054.1_120_1304"	"Equine"	"Equine"	1	1	1
"BK062773.1_54_1253"	"Pangolin"	"Pangolin"	1	1	1
"BK062774.1_51_1241"	"Pangolin"	"Pangolin"	3	3	1
"BK062778.1_192_1367"	"Pangolin"	"Pangolin"	1	1	1
"MG571090.1_123_1361"	"Pinnipeds"	"Pinnipeds"	1	0	0
"MG571091.1_240_1433"	"Pinnipeds"	"Pinnipeds"	1	0	0
"KF574428.1_42_1229"	"Other"	"Manatee"	6	4	0.666666666666667
"KF574429.1_48_1235"	"Other"	"Manatee"	4	2	0.5
"MK377489.1_141_1334"	"Other"	"Porcine"	99	3	0.0303030303030303
"AJ243287.1_93_1289"	"Other"	"Lapine"	7	0	0
"BK066347.1_93_1277"	"Other"	"Mustelid"	4	0	0
"BK066751.1_81_1283"	"Other"	"Insectivore"	1	0	0
"BK066846.1_93_1304"	"Other"	"Insectivore"	1	0	0
"MF327535.1_114_1295"	"Other"	"Ursine"	3	0	0
"MF327536.1_222_1400"	"Other"	"Ursine"	5	0	0
"MF327537.1_45_1226"	"Other"	"Ursine"	1	0	0
"MT078971.1_138_1322"	"Other"	"Porcine"	9	0	0
"MZ357114.1_72_1259"	"Other"	"Ursine"	1	0	0
