cluster_number	centroid	host_group	status	aln_best_pct_id	blastn_best_pct_id	best_pct_id	best_hit_name	taxonomy_level
126	SRR4003741Score=647.743_Edges=73_77_Position=335_Alignment=40M1I224M1D71M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	93.771	93.771	Human papillomavirus 16	known_species
127	SRR7875388Score=564.13_Edges=41_53_47_17_15_29_33_Position=2624_Alignment=40M1I25M1I56M2I43M1D99M3D69M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Bovine	novel	NA	NA	NA	NA	no_hit
128	SRR7992536Score=617.441_Edges=85363_34893_6797_89541_89537_120413_66393_66395_80141_35531_39591_76849_76847_18975_56715_130325_131475_131471_44265_141853_51603_43035_114253_80179_97021_97017_118997_154239_154237_50725_141037_32161_139877_32029_70289_27453_83971_154051_154055_144791_108959_102457_102453_109587_97321_2013_138959_1863_25381_25379_64529_62087_117739_43517_43521_63825_46295_46293_66263_121913_123979_123975_13881_66929_55217_55213_116367_145145_145141_92613_92617_22355_123949_123945_152089_39995_149619_149615_8259_8255_15473_25493_25495_101153_72589_72587_119283_119279_24705_9367_9371_100345_100347_119777_62851_45893_35481_106583_106585_67907_67905_45763_45767_25457_76291_76287_135133_135131_108067_15791_140261_4399_22147_50623_13031_134917_29439_39571_80289_711_707_107919_148629_43907_138767_138769_97965_1141_1145_19421_7277_7275_37805_37801_96073_93127_36109_71207_71205_59183_59181_67919_14253_14251_41223_41227_119887_67121_74555_74559_138725_22937_141161_128885_128881_128701_21429_21427_43577_135887_1781_1779_95159_95161_45117_121955_139727_149185_45859_45857_92159_92163_75367_76495_50707_50711_41969_41965_52001_101303_56635_94125_31229_106129_106131_27529_27531_118107_52139_103145_2737_2741_83479_103173_35237_Position=30_Alignment=162M2D102M2I70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.832	99.832	Human papillomavirus	known_species
129	DRR472339Score=633.882_Edges=267_691_689_631_637_821_743_Position=1426_Alignment=40M4I75M1D150M1I68M3D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.455	99.455	human papillomavirus 87	known_species
130	DRR472382Score=633.402_Edges=81_119_121_267_357_359_507_185_183_285_287_193_33_31_585_573_223_595_599_485_455_385_389_505_463_467_125_377_235_231_101_103_391_Position=17_Alignment=40M2I81M1D144M1I70M1D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	97.08	97.08	human papillomavirus 89	known_species
131	ERR10188193Score=619.587_Edges=35_Position=1373_Alignment=40M1D120M2D95M5I6M3D69M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Bovine	ncbi_virus	NA	99.916	99.916	Bos taurus papillomavirus 6	known_species
132	SRR1647127Score=632.854_Edges=3_Position=4260_Alignment=40M2I81M2I143M3D128M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.916	99.916	Papillomavirus felis8233a	known_species
133	DRR013327Score=635.976_Edges=425_633_635_311_275_231_531_299_293_569_343_339_47_45_51_557_705_199_315_709_711_65_69_521_187_269_255_183_445_443_437_Position=27_Alignment=40M4I224M1D69M3D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	92.159	92.159	human papillomavirus 52	known_species
134	DRR472273Score=628.883_Edges=21_29_41_3_Position=44_Alignment=40M2I226M1I68M3D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.747	99.747	Human papillomavirus type 90	known_species
135	DRR472309Score=640.808_Edges=1167_1265_1241_1243_255_1223_1675_1673_113_889_887_1633_1319_153_1179_1177_1379_273_35_31_1683_1681_977_979_135_393_1789_991_1737_1733_181_417_1217_727_595_987_1145_1141_189_605_405_1125_1123_847_1505_115_1387_1389_1559_1039_1485_1139_643_641_333_1625_705_625_1345_1707_243_241_1187_1527_1531_131_127_1171_1173_187_1619_1621_581_585_1087_1517_455_1067_1063_871_867_775_633_1715_1207_1205_1591_211_207_27_1375_383_379_759_557_559_1493_1561_1563_881_141_1151_903_1469_1197_1667_1663_561_851_853_29_171_173_1745_1747_1755_837_839_967_1555_1557_1253_1479_1475_589_649_645_1629_1029_1033_791_1305_1301_957_105_1537_1535_1251_309_1311_1307_1797_1705_349_807_165_161_1053_1049_657_307_377_71_1651_981_1273_1275_1055_619_623_Position=20_Alignment=40M5I81M1D143M1D68M3D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	98.42	98.42	Human papillomavirus	known_species
136	DRR472478Score=630.265_Edges=361_679_677_443_853_849_143_49_47_205_809_27_23_293_289_413_411_391_31_345_129_125_85_89_689_155_587_695_693_207_363_845_335_855_859_501_473_475_743_507_767_217_61_3_15_13_307_309_747_745_483_485_17_275_271_801_729_463_831_59_547_703_701_497_491_685_321_699_435_381_385_777_835_147_149_255_251_839_795_625_631_21_597_825_821_643_609_373_115_301_303_395_577_575_541_529_519_555_797_567_45_231_229_445_195_191_619_377_827_829_709_707_459_357_591_Position=17_Alignment=40M2I226M1I68M3D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	98.818	98.818	human papillomavirus 71	known_species
137	SRR3642511Score=576.802_Edges=85487_84723_84727_39119_39123_97057_Position=65_Alignment=40M2I122M1D95M7I8M3I70M5I43M16D_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	97.175	97.175	Gammapapillomavirus 8	known_species
138	DRR472266Score=638.763_Edges=69_47_119_123_87_169_163_147_149_133_Position=197_Alignment=40M2I81M1D144M1I68M3D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	novel	NA	87.953	87.953	human papillomavirus 72	new_species
139	DRR472272Score=636.989_Edges=37_Position=1493_Alignment=40M2I224M1D70M2D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	100	100	human papillomavirus 31	known_species
140	DRR472352Score=621.552_Edges=23_17_33_43_Position=34_Alignment=40M2I122M2D100M1D130M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.831	99.831	Human papillomavirus type 34	known_species
141	DRR472476Score=622.636_Edges=15_59_63_69_13_Position=61_Alignment=40M3I81M1D143M1D69M2D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	100	100	Human papillomavirus type 61	known_species
142	DRR472482Score=615.611_Edges=17_21_Position=6217_Alignment=40M2I122M1D102M1D70M1D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	novel	NA	89.514	89.514	human papillomavirus 58	new_species
143	DRR472557Score=625.894_Edges=95_65_67_123_155_45_151_87_83_85_27_9_169_171_79_133_145_159_77_209_Position=33_Alignment=40M1I224M1D71M1D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.831	99.831	human papillomavirus 18	known_species
144	DRR472567Score=616.958_Edges=69_65_73_31_57_Position=24_Alignment=336M1D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.915	99.915	human papillomavirus 82	known_species
145	ERR11319169Score=616.706_Edges=11_3_Position=78_Alignment=336M1D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	93.559	93.559	human papillomavirus 51	known_species
146	ERR3395892Score=631.576_Edges=261_255_381_Position=601_Alignment=40M1I224M1D71M1D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Other	ncbi_virus	NA	99.915	99.915	human papillomavirus 68	known_species
147	SRR14663259Score=651.104_Edges=185_Position=2227_Alignment=266M1I69M2D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Ursine	ncbi_virus	NA	99.831	99.831	Ailuropoda melanoleuca papillomavirus 1	known_species
148	SRR4003741Score=636.685_Edges=61_77_Position=879_Alignment=40M1D223M2D70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.831	99.831	human papillomavirus 74	known_species
149	SRR7688548Score=603.491_Edges=1533_1537_2677_Position=12_Alignment=3M5D32M2I81M1I144M1D70M2I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.915	99.915	Human papillomavirus 175	known_species
150	SRR7688722Score=627.838_Edges=112777_319037_Position=27_Alignment=40M2I75M1D150M1I68M3D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.831	99.831	human papillomavirus 81	known_species
151	SRR8290149Score=633.865_Edges=73_77_51_47_121_Position=439_Alignment=40M1I224M1D71M1D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	blastn	NA	90.238	90.238	human papillomavirus 59	known_species
152	DRR472379Score=641.782_Edges=13_1743_1149_1765_169_1835_1295_35_1687_1689_1117_739_743_1301_1327_1669_1665_317_309_973_975_711_1863_463_1325_1227_901_1723_1829_517_1581_1579_859_1341_1337_1111_1161_1167_1673_77_79_761_763_1349_911_213_1077_1081_289_559_1505_1501_1061_393_669_111_515_563_625_691_687_615_755_757_1607_87_1757_1751_479_29_31_193_1709_255_1065_59_1369_1619_725_1721_1717_1837_299_1571_1727_1481_1479_1591_1491_1493_1009_1003_843_1741_1211_1649_889_967_1435_1595_75_23_1605_5_1139_1879_887_321_323_1177_11_827_823_39_1417_1113_1091_1093_797_1089_303_1243_597_1279_1367_1363_27_1841_789_787_1075_765_451_1487_1371_963_701_705_119_579_581_325_1633_1265_1267_491_151_1329_1331_1521_1517_453_1251_1257_1573_507_249_917_921_929_457_1627_1629_1083_1587_991_1761_1895_1889_181_719_895_891_1793_1683_1565_1535_1533_291_849_159_471_1611_1845_1453_745_747_7_373_899_897_1851_Position=29_Alignment=40M1I75M1D148M1D71M1D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	98.472	98.472	human papillomavirus 39	known_species
153	DRR472417Score=625.665_Edges=65_61_127_39_3_33_105_107_57_109_125_145_19_199_167_27_29_115_119_21_195_197_191_187_183_93_37_75_139_Position=120_Alignment=40M1I81M1D144M1I68M3D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.661	99.661	human papillomavirus 62	known_species
154	ERR11318379Score=639.119_Edges=23_65_73_77_59_27_5_3_91_43_41_31_13_11_Position=22_Alignment=40M2I225M1D68M3D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	100	100	human papillomavirus 67	known_species
155	ERR140767Score=633.464_Edges=65_45_103_105_Position=28_Alignment=40M2I81M1D212M3D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Other	ncbi_virus	NA	90.323	90.323	human papillomavirus 89	known_species
156	ERR4605202Score=569.661_Edges=81787_149999_48639_70255_75613_76261_11107_11111_92155_92159_90369_38019_38015_8483_108827_41813_24685_8221_8217_107647_107645_76923_50775_106989_30923_49321_45135_130459_18171_12155_45035_145065_124341_31_23_139881_92511_Position=289_Alignment=40M1I122M1D103M2I68M3D26M1D31M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.54	99.54	Human papillomavirus 3	known_species
157	SRR14663259Score=635.872_Edges=193_355_483_55_151_101_99_179_223_445_443_231_439_21_221_219_227_27_23_515_459_79_81_11_43_51_53_377_69_73_283_243_479_481_141_147_509_507_275_271_249_361_359_323_325_215_291_287_183_335_337_555_165_161_131_129_265_301_77_241_Position=6_Alignment=266M1I68M3D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Ursine	ncbi_virus	NA	99.321	99.321	Ailuropoda melanoleuca papillomavirus 2	known_species
158	SRR21010201Score=652.499_Edges=5045_5041_10645_10641_5443_13885_6901_3689_859_855_2707_14737_10619_10623_2577_3545_5835_5839_10859_10861_7199_4767_13649_4263_13723_5361_11031_11027_8589_14713_13673_14909_12751_12755_8003_1947_14025_12009_5933_8543_8539_11945_333_8487_3841_1077_1071_5831_5827_9207_9287_2219_2015_3093_13621_13625_5661_12737_2789_11883_11881_2229_1387_12599_12595_4825_3867_7635_7639_835_10827_3511_13201_3699_3703_235_233_12785_10121_10125_Position=25_Alignment=40M1I224M1D70M2D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	92.621	92.621	Human papillomavirus 16	known_species
159	SRR21010214Score=616.545_Edges=225_397_479_129_131_527_567_207_339_333_83_79_291_149_153_159_155_351_353_409_229_217_261_Position=153_Alignment=265M1D70M1D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.406	99.406	human papillomavirus 43	known_species
160	SRR6442915Score=610.008_Edges=439_441_59_85_87_287_289_301_367_133_341_387_487_489_349_51_231_233_345_347_405_401_435_355_183_187_171_97_39_27_115_113_121_35_37_3_373_77_15_17_195_127_461_421_227_223_305_285_451_445_67_325_331_379_375_137_141_143_415_Position=36_Alignment=264M1D71M1D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.491	99.491	human papillomavirus 91	known_species
161	DRR125339Score=626.655_Edges=31_33_23_15_17_5_41_Position=2558_Alignment=40M2I122M1D101M1D69M3D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.915	99.915	human papillomavirus 58	known_species
162	DRR472268Score=631.566_Edges=7_31_29_Position=3_Alignment=162M2D102M2I68M3D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	97.026	97.026	Human papillomavirus	known_species
163	DRR472268Score=632.85_Edges=5_31_29_Position=3_Alignment=162M2D102M2I68M3D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	100	100	human papillomavirus 32	known_species
164	SRR1647024Score=590.681_Edges=451_1593_1407_2327_1825_1823_153_1677_1679_1791_1477_1301_2037_3245_3241_2429_Position=72_Alignment=121M2I40M2D103M2I70M3I46M8D5M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.914	99.914	Human papillomavirus	known_species
165	SRR20326686Score=631.999_Edges=3262529_2620809_Position=3144_Alignment=40M1D294M2D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Canine	ncbi_virus	NA	99.745	99.745	Canine papillomavirus 22	known_species
166	SRR20718572Score=629.693_Edges=7_Position=6376_Alignment=40M1I122M1D171M3D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Metagenome	ncbi_virus	NA	99.575	99.575	Human papillomavirus 28	known_species
167	SRR4003766Score=634.255_Edges=4439_13203_13205_3041_10979_18461_15833_15835_9255_16837_8023_8027_16995_11347_5_7_7215_9641_9643_14831_2807_2811_Position=1_Alignment=40M2I224M3D68M2D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	90.816	90.816	human papillomavirus 35	known_species
168	SRR6308220Score=638.361_Edges=49_61_55_Position=388_Alignment=40M1I225M1D68M3D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.915	99.915	Human papillomavirus	known_species
169	DRR472369Score=629.744_Edges=11_7_Position=1051_Alignment=264M1D69M3D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	novel	NA	89.411	89.411	Human papillomavirus	new_species
170	DRR472437Score=635.08_Edges=517_519_229_363_367_Position=64_Alignment=265M1D68M3D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.829	99.829	human papillomavirus 56	known_species
171	DRR472578Score=629.272_Edges=39_19_15_3_7_Position=83_Alignment=265M1D68M3D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	97.783	97.783	human papillomavirus 66	known_species
172	SRR21604199Score=639.301_Edges=147_117_23_205_73_83_139_Position=2806_Alignment=121M1D40M2D100M1D130M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	novel	NA	87.774	87.774	human papillomavirus 73	new_species
173	DRR472375Score=633.322_Edges=325_235_51_49_219_217_165_209_27_25_229_231_193_67_339_81_93_95_227_199_195_205_353_47_151_153_7_357_175_111_109_23_239_237_291_129_295_307_135_43_39_349_69_321_Position=2_Alignment=40M1D224M1D68M3D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.316	99.316	Human papillomavirus	known_species
174	DRR472384Score=625.171_Edges=7_19_11_Position=2545_Alignment=40M1D80M1D142M1D70M2D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	95.103	95.103	Human papillomavirus type 6	known_species
175	ERR1192687Score=632.098_Edges=57_Position=658_Alignment=40M1D224M1D68M3D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Other	ncbi_virus	NA	99.915	99.915	human papillomavirus 11	known_species
176	ERR10187991Score=576.327_Edges=23_Position=5762_Alignment=40M4D221M1D70M1D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Bovine	ncbi_virus	NA	100	100	Bos taurus papillomavirus 8	known_species
177	ERR3163150Score=609.111_Edges=4545_2719_2923_5115_5439_1579_3159_3163_2445_2449_2247_4609_4613_1301_3365_2001_2005_6027_3619_3621_1309_5111_5009_6409_3935_1351_5999_7003_7001_6943_3445_449_453_4519_4515_5231_5227_1025_3395_1897_645_649_3239_7105_5713_5715_1339_1121_1721_3943_7213_2301_5719_5721_2031_5957_1153_7159_4167_345_343_6965_4677_4363_5019_265_263_3483_3485_7131_2223_2433_3183_3179_85_5031_5033_1867_6017_2615_553_1317_1315_4301_4647_3237_2459_6337_6331_7005_6315_5205_4595_4591_789_787_989_987_5519_4281_Position=0_Alignment=8M4D28M1I224M1D70M2D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	98.759	98.759	Human papillomavirus 16	known_species
178	SRR20621228Score=365.818_Edges=3_Position=4117_Alignment=40M5D27M1I49M9I73M3I17M2I40M15D70M1D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Ray-finned Fish	ncbi_virus	NA	90.497	90.497	Oncorhynchus mykiss-associated papillomavirus 1	known_species
179	SRR6442979Score=613.837_Edges=205_35_203_199_111_113_49_51_155_149_193_197_227_233_237_71_9_169_17_19_29_243_25_173_135_133_13_125_161_81_Position=18_Alignment=40M1I81M2D39M1D101M2D69M2D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	99.829	99.829	human papillomavirus 27	known_species
180	ERR2643802Score=617.033_Edges=33_17_9_7_Position=715_Alignment=115M2D45M1D101M2D68M3D58M_ScaffoldSuperpaths=_OriginScaffoldPath=	Other	ncbi_virus	NA	99.828	99.828	Human papillomavirus type 2	known_species
181	SRR14731653Score=259.03_Edges=57_77_81_7_27_Position=1408_Alignment=40M2D35M1D33M15D32M18I18M3I19M1D15M3I48M13D63M7D53M_ScaffoldSuperpaths=_OriginScaffoldPath=	Amphibian	novel	NA	NA	NA	NA	no_hit
182	SRR6757686Score=662.994_Edges=19_Position=1408_Alignment=40M2I81M1D136M6I8M1I70M1I59M_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	93.642	93.642	Human papillomavirus 173	known_species
183	SRR24184635SRR24184635Score=265.377_Edges=3_Position=4776_Alignment=38M6D26M1D44M13D30M17I18M7I19M1D15M3I46M14D64M8D52M_ScaffoldSuperpaths=_OriginScaffoldPath=	Amphibian	novel	NA	NA	NA	NA	no_hit
184	SRR6897361Score=556.548_Edges=9_11_3_Position=331_Alignment=40M1D81M1I34M1D95M2I82M3D44M14D_ScaffoldSuperpaths=_OriginScaffoldPath=	Human	ncbi_virus	NA	98.068	98.068	Mupapillomavirus 1	known_species
185	ERR10188009_10374_ka_f_7.625_:99-1295	Bovine	novel	NA	NA	NA	NA	no_hit
186	ERR10188114_7499_ka_f_11.335_:84-1256	Bovine	novel	NA	NA	NA	NA	no_hit
187	ERR10432978_2790_ka_f_14.533_:162-1373	Human	ncbi_virus	NA	99.67	99.67	Human papillomavirus AZ1_1	known_species
188	ERR10856925_31322_ka_f_19.840_L_705145_L_705145_L_1078781_:84-1295	Human	ncbi_virus	NA	99.339	99.339	Human papillomavirus	known_species
189	ERR10856926_1044_ka_f_18.115_L_17040_:96-1316	Human	ncbi_virus	NA	99.836	99.836	human papillomavirus 124	known_species
190	ERR10857004_984_ka_f_16.310_L_75025_L_75861_L_83878_L_83905_:126-1346	Human	ncbi_virus	NA	98.852	98.852	Human papillomavirus type 195	known_species
191	ERR10972965_850882_ka_f_787.436_L_850882_L_850882_:60-1253	Non-human Primate	novel	NA	NA	NA	NA	no_hit
192	ERR11284570_1952759_ka_f_155.044_L_6272680_L_4729108_:27-1211	Canine	novel	NA	70.188	70.188	Ursus maritimus papillomavirus 1	new_species
193	ERR11284571_517618_ka_f_12.652_L_517618_L_517618_:129-1346	Canine	ncbi_virus	NA	99.425	99.425	Human papillomavirus	known_species
194	ERR11835931_102475_ka_f_41.972_L_102475_L_102475_:141-1355	Human	ncbi_virus	NA	96.787	96.787	Human papillomavirus 189	known_species
195	ERR12161546_300751_ka_f_9.971_L_575451_L_2785324_:234-1418	Human	ncbi_virus	NA	99.831	99.831	human papillomavirus 72	known_species
196	ERR1301474_1788_ka_f_8.370_:57-1247	Bat	novel	NA	NA	NA	NA	no_hit
197	ERR1332602_9125_ka_f_52.351_L_268935_L_498139_L_273290_:90-1277	Metagenome	ncbi_virus	NA	99.832	99.832	Human papillomavirus 142	known_species
198	ERR2059962_465_ka_f_17.246_L_465_L_465_:84-1289	Rodent	ncbi_virus	NA	99.004	99.004	Human papillomavirus 174	known_species
199	ERR2535153_5112_ka_f_13.615_:69-1265	Human	ncbi_virus	NA	97.324	97.324	Human papillomavirus	known_species
200	ERR3209767_28455_ka_f_8.940_:60-1286	Metagenome	ncbi_virus	NA	97.961	97.961	Human papillomavirus	known_species
201	ERR3209772_35041_ka_f_17.271_L_102738_L_388072_L_393538_:114-1322	Metagenome	ncbi_virus	NA	96.854	96.854	Human papillomavirus 113	known_species
202	ERR3209800_23190_ka_f_13.199_L_23190_L_23190_:141-1334	Metagenome	ncbi_virus	NA	96.396	96.396	Human papillomavirus 22	known_species
203	ERR3500861_2179_ka_f_5.562_:84-1265	Human	ncbi_virus	NA	99.915	99.915	Human papillomavirus type 26	known_species
204	ERR361035_246_ka_f_6.100_:96-1292	Other	ncbi_virus	NA	99.833	99.833	Papillomavirus sparus5623	known_species
205	ERR3974430_3539_ka_f_11.528_L_13581_:48-1256	Human	ncbi_virus	NA	98.427	98.427	Human papillomavirus	known_species
206	ERR3974441_4375_ka_f_12.491_L_528352_L_3944_L_487618_:90-1301	Human	ncbi_virus	NA	99.835	99.835	Human papillomavirus type 92	known_species
207	ERR4982086_1856_ka_f_57.439_L_1856_L_1856_:93-1310	Human	novel	NA	80	80	Human papillomavirus	new_species
208	ERR6996342_754_ka_f_25.565_L_754_L_754_:114-1319	Human	ncbi_virus	NA	99.502	99.502	Human papillomavirus 107	known_species
209	ERR7437619_213681_ka_f_8.035_L_29300_:60-1253	Human	ncbi_virus	NA	98.24	98.24	Human papillomavirus	known_species
210	ERR7437639_8860_ka_f_7.200_:141-1352	Human	ncbi_virus	NA	99.009	99.009	Human papillomavirus 109	known_species
211	ERR8027622_16371_ka_f_9.465_:81-1304	Human	ncbi_virus	NA	99.101	99.101	Human papillomavirus	known_species
212	ERR8507462_253402_ka_f_4.300_:69-1277	Human	ncbi_virus	NA	99.917	99.917	Human papillomavirus	known_species
213	ERR9287091_1241_ka_f_12.847_:96-1313	Porcine	ncbi_virus	NA	99.096	99.096	Human papillomavirus 167	known_species
214	SRR10176819_14429_ka_f_8.368_:69-1289	Human	ncbi_virus	NA	98.197	98.197	Human papillomavirus	known_species
215	SRR10419372_36989_ka_f_19.719_L_36989_L_36989_:153-1361	Other	ncbi_virus	NA	99.669	99.669	Human papillomavirus	known_species
216	SRR10674799_1934125_ka_f_20.693_L_2122327_:135-1274	Rodent	ncbi_virus	NA	99.298	99.298	Human papillomavirus type 88	known_species
217	SRR12051941_3354_ka_f_209.015_L_34999_L_165886_:123-1298	Human	ncbi_virus	NA	99.915	99.915	Human papillomavirus	known_species
218	SRR12091766_1757_ka_f_41.192_L_1757_L_1757_:75-1283	Other	ncbi_virus	NA	100	100	Macaca mulatta papillomavirus 5	known_species
219	SRR12173447_1603609_ka_f_41.687_L_1698910_L_2595465_:129-1337	Human	ncbi_virus	NA	99.669	99.669	Human papillomavirus 9	known_species
220	SRR12232758_6310_ka_f_35.113_:51-1235	Bat	ncbi_virus	NA	100	100	Eptesicus regulus papillomavirus	known_species
221	SRR12366696_2731_ka_f_537.853_L_113947_L_111286_L_148718_:81-1250	Cetacean	ncbi_virus	NA	100	100	Firstpapillomavirinae PV-HMU-2	known_species
222	SRR12709238_8_ka_f_12.262_L_161_L_11497_:123-1304	Human	ncbi_virus	NA	99.577	99.577	human papillomavirus 59	known_species
223	SRR12710118_2811_ka_f_177.257_L_77009_:120-1292	Human	ncbi_virus	NA	99.915	99.915	Human papillomavirus type 55	known_species
224	SRR12886421_127660_ka_f_6.000_:63-1244	Ray-finned Fish	ncbi_virus	NA	NA	NA	NA	no_hit
225	SRR12893619_38769_ka_f_33.129_:129-1310	Metagenome	ncbi_virus	NA	99.831	99.831	Human papillomavirus 94	known_species
226	SRR12893826_75830_ka_f_8.795_L_109802_L_249408_:78-1301	Metagenome	ncbi_virus	NA	94.098	94.098	Human papillomavirus 105	known_species
227	SRR13233423_322985_ka_f_9.137_:48-1226	Canine	novel	NA	73.232	73.232	Canis familiaris papillomavirus 19	new_species
228	SRR13233582_39397_ka_f_26.574_L_1502794_L_1502795_L_2006832_L_1494763_L_1496715_:117-1295	Canine	ncbi_virus	NA	99.915	99.915	Canine papillomavirus	known_species
229	SRR13233637_27617_ka_f_210.061_L_1780679_:108-1289	Canine	ncbi_virus	NA	100	100	Canine papillomavirus 21	known_species
230	SRR13235318_32975_ka_f_467.481_L_177797_L_2824402_L_2931827_:198-1382	Canine	novel	NA	NA	NA	NA	no_hit
231	SRR13235463_4057_ka_f_11.238_:123-1301	Canine	ncbi_virus	NA	99.915	99.915	Canis familiaris papillomavirus 13	known_species
232	SRR13235485_155797_ka_f_23.230_L_1382895_:69-1247	Canine	novel	NA	77.269	77.269	Canine papillomavirus 22	new_species
233	SRR13402751_4189_ka_f_91.168_L_4189_L_4189_:174-1397	Human	ncbi_virus	NA	99.918	99.918	Human papillomavirus 99	known_species
234	SRR13725758_1385_ka_f_25.143_L_1385_L_1385_:135-1343	Human	ncbi_virus	NA	99.255	99.255	Human papillomavirus	known_species
235	SRR13725762_4795_ka_f_59.648_L_4795_L_4795_:69-1292	Human	ncbi_virus	NA	99.101	99.101	Human papillomavirus	known_species
236	SRR13725875_2394_ka_f_11.532_:123-1331	Human	ncbi_virus	NA	99.917	99.917	human papillomavirus 150	known_species
237	SRR13726042_9_ka_f_69.548_L_9_L_9_:69-1286	Human	ncbi_virus	NA	99.836	99.836	Human papillomavirus	known_species
238	SRR13726081_34661_ka_f_32.085_L_104070_L_731146_:78-1280	Human	ncbi_virus	NA	96.755	96.755	Gammapapillomavirus 19	known_species
239	SRR13726081_9443_ka_f_222.087_L_9443_L_182607_L_9443_:93-1307	Human	ncbi_virus	NA	99.423	99.423	Human papillomavirus	known_species
240	SRR13784171_2554577_ka_f_771.345_L_10642473_L_10642473_:147-1331	Feline	ncbi_virus	NA	99.831	99.831	Felis domesticus papillomavirus 2	known_species
241	SRR13789165_23199_ka_f_129.831_L_868055_L_870732_L_870733_L_870734_L_432761_:177-1403	Human	ncbi_virus	NA	99.837	99.837	Human papillomavirus 19	known_species
242	SRR13789172_130240_ka_f_21.993_:72-1274	Human	ncbi_virus	NA	99.834	99.834	Human papillomavirus	known_species
