V1_2	x10	n	curated
KJ913662.1_87_1274_1	Gammapapillomavirus	5	y
KM085343.1_135_1367_1	Gammapapillomavirus	5	y
KM983393.1_90_1268_1	Xipapillomavirus	5	y
KP099966.1_174_1358_1	Chipapillomavirus	10	y
KP276343.1_138_1310_1	Deltapapillomavirus	10	y
KP692114.1_69_1289_1	Gammapapillomavirus	8	y
KP692115.1_57_1262_1	Gammapapillomavirus	6	y
KP692117.1_78_1307_1	Gammapapillomavirus	5	y
KP692118.1_147_1352_1	Gammapapillomavirus	8	y
KP692124.1_72_1277_1	Gammapapillomavirus	7	y
KP692175.1_78_1289_1	Human_associated	7	y
KP757765.1_123_1298_1	Treisthetapapillomavirus 	4	y
KP769769.1_78_1268_1	Mupapillomavirus 	3	y
KP861980.1_204_1382_1	Dyoomikronpapillomavirus	5	y
KR816167.1_93_1322_1	Gammapapillomavirus	7	y
KR816168.1_159_1337_1	Alphapapillomavirus	7	y
KR816169.1_93_1316_1	Gammapapillomavirus	7	y
KR816171.1_90_1301_1	Gammapapillomavirus	8	y
KR816173.1_135_1352_1	Gammapapillomavirus	5	y
KR816174.1_96_1307_1	Gammapapillomavirus	6	y
KR816175.1_60_1286_1	Gammapapillomavirus	5	y
KR816176.1_141_1355_1	Gammapapillomavirus	5	y
KR816179.1_93_1304_1	Gammapapillomavirus	6	y
KR816180.1_141_1346_1	Gammapapillomavirus	5	y
KT236450.1_117_1292_1	Alphapapillomavirus	9	y
KT698168.1_78_1289_1	Gammapapillomavirus	7	y
KT852571.1_114_1289_1	Rus_ timorensis_associated	7	y
KT901797.1_84_1268_1	Chipapillomavirus	10	y
KT932712.1_99_1301_1	Xipapillomavirus	8	y
KT932713.1_54_1232_1	Dyokappapapillomavirus 	3	y
KT944080.1_147_1316_1	Alphapapillomavirus	10	y
KU350625.1_132_1298_1	Epsilonpapillomavirus	6	y
KU519391.1_54_1238_1	Dyokappapapillomavirus	4	y
KU519392.1_102_1298_1	Xipapillomavirus	5	y
KU519393.1_54_1235_1	Dyokappapapillomavirus 	4	y
KU519394.1_54_1250_1	Dyoxipapillomavirus 	4	y
KU519395.1_72_1274_1	Bos_taurus_associated	8	y
KU519396.1_54_1241_1	Dyoxipapillomavirus	5	y
KU963288.1_102_1274_1	Treiskappapapillomavirus 	2	y
KX082661.1_135_1328_1	Human_associated	7	y
KX098515.1_75_1262_1	Xipapillomavirus	9	y
KX147683.1_105_1298_1	Duck_associated	5	y
KX276954.1_45_1235_1	Eidolon_helvum_associated	4	y
KX276956.1_159_1352_1	Psipapillomavirus 	4	y
KX276957.1_117_1319_1	Psipapillomavirus 	4	y
KX434763.1_90_1286_1	Bat_associated	5	y
KX599536.1_123_1298_1	Taupapillomavirus	6	y
KX643372.1_36_1484_1	Alefpapillomavirus 	6	y
KX781280.1_135_1352_1	Human_associated	6	y
KX781281.1_141_1355_1	Human_associated	6	y
KX781282.1_99_1307_1	Human_associated	6	y
KX781284.1_135_1352_1	Human_associated	5	y
KX781285.1_147_1364_1	Human_associated	8	y
KX781286.1_81_1289_1	Human_associated	5	y
KX812447.1_174_1385_1	Molossus_molossus_associated	3	y
KX954132.1_69_1253_1	Deltapapillomavirus	7	y
KY370096.1_87_1277_1	Rodent_associated	5	y
KY705374.1_117_1295_1	Bovine_associated	4	y
KY817993.1_273_1469_1	Sus_scrofa_associated	3	y
KY853656.1_60_1226_1	Felis_catus_associated	4	y
LC333412.2_96_1277_1	Taupapillomavirus	5	y
LC500686.1_90_1286_1	Xipapillomavirus	8	y
LC514113.1_75_1259_1	Xipapillomavirus	8	y
LC704675.1_63_1238_1	Atelerix_albiventris_associated	7	y
LR861871.1_120_1301_1	Alphapapillomavirus	8	y
LR861990.1_147_1349_1	Human_associated	6	y
LR862035.1_138_1343_1	Human_associated	6	y
LR862055.1_237_1439_1	Human_associated	7	y
M11910.1_87_1262_1	Deltapapillomavirus	8	y
M15953.1_81_1262_1	Deltapapillomavirus	8	y
M32305.1_60_1277_1	Betapapillomavirus	9	y
M74117.1_81_1262_1	Alphapapillomavirus	7	y
MA632777.1_54_1307_1	Mupapillomavirus	3	y
MF168943.1_72_1250_1	Treisepsilonpapillomavirus	7	y
MF176072.1_126_1319_1	Human_associated	6	y
MF327535.1_114_1295_1	Omegapapillomavirus	7	y
MF327537.1_45_1226_1	Dyonupapillomavirus	3	y
MF327538.1_108_1283_1	Dyonupapillomavirus	5	y
MF435916.1_54_1229_1	Deltapapillomavirus	8	y
MF509816.1_93_1307_1	Human_associated	7	y
MF509820.1_105_1316_1	Human_associated	7	y
MF509821.1_105_1319_1	Human_associated	6	y
MF564196.1_66_1250_1	Etapapillomavirus	3	y
MF588682.1_90_1286_1	Betapapillomavirus	9	y
MF588684.1_141_1334_1	Betapapillomavirus	8	y
MF588688.1_75_1283_1	Gammapapillomavirus	5	y
MF588689.1_171_1370_1	Gammapapillomavirus	8	y
MF588690.1_60_1265_1	Gammapapillomavirus	8	y
MF588691.1_87_1277_1	Gammapapillomavirus	5	y
MF588692.1_69_1280_1	Gammapapillomavirus	5	y
MF588693.1_69_1280_1	Gammapapillomavirus	5	y
MF588694.1_48_1259_1	Gammapapillomavirus	7	y
MF588695.1_78_1289_1	Gammapapillomavirus	7	y
MF588696.1_222_1436_1	Gammapapillomavirus	6	y
MF588698.1_57_1274_1	Gammapapillomavirus	6	y
MF588699.1_138_1355_1	Gammapapillomavirus	6	y
MF588702.1_138_1343_1	Gammapapillomavirus	6	y
MF588703.1_141_1343_1	Gammapapillomavirus	6	y
MF588705.1_144_1358_1	Gammapapillomavirus	6	y
MF588707.1_78_1310_1	Gammapapillomavirus	5	y
MF588708.1_165_1379_1	Gammapapillomavirus	7	y
MF588709.1_105_1319_1	Gammapapillomavirus	6	y
MF588710.1_126_1337_1	Gammapapillomavirus	6	y
MF588711.1_114_1328_1	Gammapapillomavirus	6	y
MF588712.1_48_1256_1	Gammapapillomavirus	6	y
MF588714.1_78_1304_1	Gammapapillomavirus	7	y
MF588717.1_69_1265_1	Gammapapillomavirus	6	y
MF588718.1_75_1274_1	Gammapapillomavirus	5	y
MF588720.1_150_1358_1	Gammapapillomavirus	5	y
MF588721.1_90_1289_1	Gammapapillomavirus	6	y
MF588723.1_75_1295_1	Gammapapillomavirus	6	y
MF588724.1_153_1361_1	Gammapapillomavirus	5	y
MF588725.1_93_1307_1	Gammapapillomavirus	4	y
MF588726.1_132_1337_1	Gammapapillomavirus	5	y
MF588727.1_135_1346_1	Gammapapillomavirus	4	y
MF588728.1_123_1325_1	Gammapapillomavirus	7	y
MF588730.1_129_1328_1	Gammapapillomavirus	8	y
MF588731.1_132_1325_1	Gammapapillomavirus	6	y
MF588732.1_78_1280_1	Gammapapillomavirus	7	y
MF588733.1_60_1256_1	Gammapapillomavirus	7	y
MF588734.1_90_1307_1	Gammapapillomavirus	7	y
MF588736.1_147_1364_1	Gammapapillomavirus	6	y
MF588737.1_114_1331_1	Gammapapillomavirus	6	y
MF588738.1_114_1331_1	Gammapapillomavirus	6	y
MF588739.1_147_1361_1	Gammapapillomavirus	6	y
MF588740.1_72_1280_1	Gammapapillomavirus	6	y
MF588742.1_72_1289_1	Gammapapillomavirus	7	y
MF588744.1_93_1292_1	Gammapapillomavirus	6	y
MF588747.1_156_1376_1	Gammapapillomavirus	5	y
MF588748.1_141_1355_1	Gammapapillomavirus	6	y
MF588749.1_135_1352_1	Gammapapillomavirus	6	y
MF588753.1_69_1286_1	Gammapapillomavirus	7	y
MF588754.1_75_1286_1	Gammapapillomavirus	5	y
MF588756.1_108_1322_1	Gammapapillomavirus	8	y
MF588757.1_54_1325_1	Human_associated	3	y
MF588760.1_105_1310_1	Gammapapillomavirus	6	y
MF588767.1_72_1271_1	Gammapapillomavirus	7	y
MF588773.1_72_1265_1	Gammapapillomavirus	7	y
MF588775.1_138_1334_1	Gammapapillomavirus	7	y
MF588780.1_60_1253_1	Gammapapillomavirus	6	y
MF588786.1_135_1364_1	Gammapapillomavirus	5	y
MG063749.1_87_1307_1	Human_associated	7	y
MG571089.1_129_1346_1	Leptonychotes_weddellii_associated	3	y
MG571090.1_123_1361_1	Leptonychotes_weddellii_associated	5	y
MG571091.1_240_1433_1	Leptonychotes_weddellii_associated	6	y
MG571092.1_222_1418_1	Leptonychotes_weddellii_associated	6	y
MG571093.1_45_1253_1	Leptonychotes_weddellii_associated	4	y
MG571094.1_66_1271_1	Leptonychotes_weddellii_associated	6	y
MG571095.1_93_1289_1	Leptonychotes_weddellii_associated	4	y
MG602223.1_144_1325_1	Xipapillomavirus	8	y
MG744508.1_78_1256_1	Dyopipapillomavirus	5	y
MG837557.1_60_1229_1	Macaca_mulatta_associated	8	y
MG837558.1_156_1343_1	Macaca_mulatta_associated	8	y
MG837559.1_99_1310_1	Macaca_mulatta_associated	6	y
MG869605.1_99_1313_1	Human_associated	5	y
MG905161.1_171_1403_1	Omikronpapillomavirus	5	y
MG921179.1_48_1259_1	Human_associated	7	y
MH049343.1_54_1238_1	Okapia_johnstoni_associated	7	y
MH172377.1_60_1277_1	Human_associated	6	y
MH172379.1_90_1298_1	Human_associated	7	y
MH230930.1_114_1328_1	Tadarida_brasiliensis_associated	3	y
MH285952.1_108_1289_1	Taupapillomavirus	6	y
MH285953.1_72_1247_1	Taupapillomavirus	7	y
MH285954.1_225_1397_1	Taupapillomavirus	6	y
MH376689.1_72_1247_1	Erethizon_dorsatum_associated	7	y
MH469677.1_225_1409_1	Macaca_fuscata_associated	8	y
MH510267.2_282_1448_1	Oncorhynchus_mykiss_associated	7	y
MH512005.1_45_1241_1	Bovine_associated	4	y
MH605022.1_123_1304_1	Dyomupapillomavirus	3	y
MH617143.2_90_1316_1	Melanogrammus_aeglefinus_associated	7	y
MH617579.2_63_1271_1	Lutjanus_campechanus_associated	7	y
MH729203.1_48_1235_1	Bovine_associated	8	y
MH745747.1_75_1283_1	Gammapapillomavirus	5	y
MH745748.1_432_1601_1	Alphapapillomavirus	8	y
MH745749.1_99_1313_1	Gammapapillomavirus	5	y
MH777159.2_48_1259_1	Human_associated	7	y
MH777162.2_81_1301_1	Human_associated	8	y
MH777163.2_93_1310_1	Human_associated	6	y
MH777165.2_93_1286_1	Human_associated	6	y
MH777170.2_99_1298_1	Human_associated	7	y
MH777171.1_120_1313_1	Human_associated	8	y
MH777173.2_81_1271_1	Human_associated	3	y
MH777176.2_147_1358_1	Human_associated	6	y
MH777177.1_123_1325_1	Human_associated	7	y
MH777178.2_90_1304_1	Human_associated	7	y
MH777185.2_90_1280_1	Human_associated	6	y
MH777186.2_78_1307_1	Human_associated	5	y
MH777187.2_69_1286_1	Human_associated	8	y
MH777190.2_57_1286_1	Human_associated	8	y
MH777192.2_99_1313_1	Human_associated	7	y
MH777195.2_78_1307_1	Human_associated	6	y
MH777200.2_72_1262_1	Human_associated	5	y
MH777201.2_141_1364_1	Human_associated	6	y
MH777202.2_168_1397_1	Human_associated	5	y
MH777203.2_141_1331_1	Human_associated	7	y
MH777205.2_123_1331_1	Betapapillomavirus	6	y
MH777206.2_105_1325_1	Human_associated	5	y
MH777207.2_93_1304_1	Human_associated	4	y
MH777208.2_81_1304_1	Human_associated	6	y
MH777209.1_81_1295_1	Human_associated	7	y
MH777211.2_69_1286_1	Human_associated	8	y
MH777217.2_72_1280_1	Human_associated	6	y
MH777219.2_87_1289_1	Human_associated	5	y
MH777224.2_60_1280_1	Human_associated	8	y
MH777226.2_135_1349_1	Human_associated	6	y
MH777228.1_111_1310_1	Human_associated	7	y
MH777229.2_66_1277_1	Human_associated	6	y
MH777230.1_105_1319_1	Human_associated	7	y
MH777234.1_48_1259_1	Human_associated	7	y
MH777239.1_132_1322_1	Human_associated	7	y
MH777241.1_171_1382_1	Human_associated	6	y
MH777243.2_117_1328_1	Human_associated	7	y
MH777244.2_96_1292_1	Human_associated	7	y
MH777245.2_69_1289_1	Human_associated	6	y
MH777249.1_201_1400_1	Human_associated	7	y
MH777253.2_171_1379_1	Human_associated	7	y
MH777260.2_69_1289_1	Human_associated	6	y
MH777261.2_93_1310_1	Human_associated	6	y
MH777262.2_138_1349_1	Human_associated	6	y
MH777263.1_105_1316_1	Human_associated	8	y
MH777264.2_123_1319_1	Human_associated	6	y
MH777265.2_60_1277_1	Human_associated	7	y
MH777268.2_72_1274_1	Human_associated	7	y
MH777270.1_96_1307_1	Human_associated	5	y
MH777273.2_138_1343_1	Human_associated	5	y
MH777280.2_72_1280_1	Human_associated	7	y
MH777281.1_81_1265_1	Human_associated	7	y
MH777284.2_141_1334_1	Human_associated	6	y
MH777286.2_75_1298_1	Betapapillomavirus	8	y
MH777287.2_141_1340_1	Human_associated	7	y
MH777288.2_48_1256_1	Human_associated	7	y
MH777289.1_135_1364_1	Human_associated	6	y
MH777294.2_72_1289_1	Human_associated	9	y
MH777298.2_138_1340_1	Human_associated	6	y
MH777309.2_66_1289_1	Human_associated	5	y
MH777310.1_69_1292_1	Human_associated	8	y
MH777313.2_84_1301_1	Human_associated	9	y
MH777314.2_69_1268_1	Human_associated	7	y
MH777322.2_69_1262_1	Human_associated	6	y
MH777325.2_132_1331_1	Human_associated	8	y
MH777327.2_96_1301_1	Human_associated	5	y
MH777328.2_123_1322_1	Human_associated	6	y
MH777333.1_48_1256_1	Human_associated	6	y
MH777343.2_72_1274_1	Human_associated	6	y
MH777347.2_72_1274_1	Human_associated	6	y
MH777351.2_144_1355_1	Human_associated	5	y
MH777355.2_69_1277_1	Human_associated	7	y
MH777357.2_72_1274_1	Human_associated	7	y
MH777358.2_75_1295_1	Human_associated	9	y
MH777359.2_144_1364_1	Human_associated	8	y
MH777368.1_129_1340_1	Human_associated	4	y
MH777378.1_99_1301_1	Human_associated	7	y
MH777380.2_87_1304_1	Human_associated	6	y
MH777381.2_99_1307_1	Human_associated	7	y
MH777383.2_90_1307_1	Human_associated	7	y
MH777384.2_87_1271_1	Human_associated	8	y
MH777385.2_69_1286_1	Human_associated	5	y
MH777389.2_90_1301_1	Human_associated	6	y
MH910493.1_117_1316_1	Leopardus_wiedii_associated	7	y
MH972562.2_63_1259_1	Human_associated	7	y
MH972563.2_96_1310_1	Human_associated	8	y
MK124621.1_78_1310_1	Dyoxipapillomavirus	5	y
MK207055.1_54_1259_1	Hemidactylus_frenatus_associated	3	y
MK443496.1_129_1322_1	Tupaia_belangeri_associated	7	y
MK443497.1_75_1253_1	Tupaia_belangeri_associated	5	y
MK620302.1_300_1484_1	Fratercula_arctica_associated	10	y
MK620303.1_66_1256_1	Anas_platyrhynchos_associated	5	y
MK620304.1_72_1256_1	Larus_smithsonianus_associated	10	y
MK620305.1_75_1271_1	Rissa_tridactyla_associated	10	y
MK620331.1_66_1259_1	Larus_smithsonianus_associated	10	y
MK620334.1_75_1265_1	Rissa_tridactyla_associated	10	y
MK620336.1_54_1241_1	Rissa_tridactyla_associated	10	y
MK620340.1_225_1406_1	Rissa_tridactyla_associated	10	y
MK620341.1_33_1217_1	Rissa_tridactyla_associated	10	y
MN117918.1_84_1265_1	Equus_caballus_associated	7	y
MN148899.1_138_1337_1	Capra_hircus_associated	9	y
MN194600.1_54_1250_1	Hemidactylus_frenatus_associated	4	y
MN329804.1_99_1325_1	Tadarida_brasiliensis_associated	7	y
MN515404.1_72_1238_1	Silurus_glanis_associated	7	y
MN535763.1_57_1253_1	Callithrix_penicillata_associated	4	y
MN535764.1_96_1289_1	Callithrix_penicillata_associated	5	y
MN857145.1_78_1238_1	Felis_catus_associated	4	y
MT078971.1_138_1322_1	Dyodeltapapillomavirus	5	y
MT130100.1_90_1259_1	Deltapapillomavirus	8	y
MT766314.1_51_1235_1	Eptesicus_regulus_associated	7	y
MW311489.1_135_1352_1	Human_associated	7	y
MW390885.1_90_1274_1	Bos_taurus_associated	8	y
MW393860.1_48_1235_1	Xipapillomavirus	9	y
MW401529.1_48_1253_1	Xipapillomavirus	4	y
MW401530.1_81_1247_1	Bos_taurus_associated	6	y
MW401531.1_156_1325_1	Bos_taurus_associated	6	y
MW404256.1_177_1361_1	Bos_taurus_associated	7	y
MW404259.1_144_1322_1	Bos_taurus_associated	6	y
MW428425.1_90_1274_1	Bos_taurus_associated	7	y
MW428427.1_69_1271_1	Bos_taurus_associated	6	y
MW428428.1_75_1265_1	Bos_taurus_associated	5	y
MW428429.1_90_1283_1	Bos_taurus_associated	6	y
MW428430.1_57_1088_1	Bos_taurus_associated	6	y
MW436430.1_57_1277_1	Bos_taurus_associated	6	y
MW543422.1_45_1211_1	Bos_taurus_associated	6	y
MW543423.1_48_1238_1	Bos_taurus_associated	6	y
MW543427.1_54_1232_1	Bos_taurus_associated	6	y
MW582900.1_141_1166_1	Rhinella_marina_associated	10	y
MW582922.1_81_1253_1	Archaeolacerta_bedriagae_associated	5	y
MW841296.1_60_1241_1	Martes_foina_associated	4	y
MW888448.1_51_1190_1	Anas_platyrhynchos_associated	5	y
MW922427.1_63_1286_1	Tadarida_brasiliensis_associated	8	y
MW922428.1_90_1313_1	Tadarida_brasiliensis_associated	8	y
MZ244208.1_57_1235_1	Urolophus_aurantiacus_associated	6	y
MZ357114.1_72_1259_1	Ailuropoda_melanoleuca_associated	6	y
MZ447865.1_60_1238_1	Trematomus_bernacchii_associated	7	y
MZ570859.1_168_1469_1	Melanogrammus_aeglefinus_associated	7	y
MZ570860.1_66_1277_1	Melanogrammus_aeglefinus_associated	8	y
MZ570861.1_111_1406_1	Melanogrammus_aeglefinus_associated	6	y
MZ570862.1_78_1322_1	Melanogrammus_aeglefinus_associated	6	y
MZ570863.1_99_1406_1	Centropristis_striata_associated	7	y
MZ570864.1_93_1310_1	Centropristis_striata_associated	8	y
MZ570865.1_99_1427_1	Centropristis_striata_associated	5	y
MZ602149.1_66_1355_1	Larus_occidentalis_associated	7	y
NC_001354.1_225_1487_1	Nupapillomavirus	3	y
NC_001458.1_66_1259_1	Mupapillomavirus	3	y
NC_001596.1_129_1337_1	Betapapillomavirus	8	y
NC_001605.1_192_1367_1	Iotapapillomavirus	6	y
NC_001690.1_69_1286_1	Gammapapillomavirus	8	y
NC_001693.1_132_1334_1	Gammapapillomavirus	5	y
NC_001789.1_57_1229_1	Deltapapillomavirus	8	y
OK073977.1_69_1253_1	Trichechus_manatus_associated	4	y
OL310516.1_78_1253_1	Dyothetapapillomavirus	3	y
OL672227.1_75_1259_1	Bos_taurus_associated	7	y
OL704823.1_174_1382_1	Molossus_molossus_associated	6	y
OL704824.1_93_1298_1	Eumops_bonariensis_associated	3	y
OL704825.1_126_1328_1	Eumops_bonariensis_associated	9	y
ON482334.1_57_1262_1	Human_associated	6	y
ON932813.1_57_1247_1	Rodent_associated	5	y
OP376964.1_60_1253_1	Varecia_variegata_asociated	4	y
OP376965.1_108_1307_1	Varecia_variegata_asociated	6	y
OP432240.1_63_1232_1	Chipapillomavirus	10	y
OP628184.1_120_1301_1	Columba_livia_associated	4	y
OP699054.1_120_1304_1	Equus_asinus_associated	5	y
OP748391.1_462_1661_1	Delphinapterus_leucas_associated	6	y
OP748392.1_81_1250_1	Dyodeltapapillomavirus	6	y
OP870083.1_225_1385_1	Equus_caballus_associated	7	y
OP933686.1_87_1274_1	Fish_associated	7	y
OQ274127.1_138_1355_1	Neophocaena_asiaeorientalis_associated	5	y
OQ274128.1_132_1349_1	Neophocaena_asiaeorientalis_associated	5	y
OQ274129.1_177_1397_1	Neophocaena_asiaeorientalis_associated	5	y
OQ274130.1_84_1298_1	Neophocaena_asiaeorientalis_associated	6	y
OQ274131.1_87_1298_1	Neophocaena_asiaeorientalis_associated	6	y
OQ633419.1_78_1277_1	Betta_splendens_associated	7	y
OQ746290.1_54_1238_1	Enhydra_lutris_associated	7	y
OQ836188.1_108_1277_1	Felis_catus_associated	4	y
OR427310.1_132_1325_1	Rhinolophus_affinis_associated	8	y
OR531434.1_282_1466_1	Arctocephalus_forsteri_associated	5	y
OR915584.1_84_1265_1	Lambdapapillomavirus	8	y
OR915587.1_135_1328_1	Lambdapapillomavirus	7	y
OR915590.1_87_1265_1	Lambdapapillomavirus	8	y
OR915591.1_66_1271_1	Treisetapapillomavirus	3	y
OR915593.1_132_1340_1	Treisetapapillomavirus	4	y
OR951005.1_12_1205_1	Taphozous_melanopogon_associated	6	y
OR952772.1_84_1274_1	Rhinolophus_associated	10	y
OR952773.1_114_1304_1	Rhinolophus_associated	10	y
OR952775.1_51_1223_1	Scotophilus_kuhlii_associated	7	y
OR952776.1_150_1337_1	Scotophilus_kuhlii_associated	9	y
OR952778.1_51_1226_1	Scotophilus_kuhlii_associated	8	y
OR952779.1_153_1349_1	Scotophilus_kuhlii_associated	9	y
OR952780.1_51_1229_1	Scotophilus_kuhlii_associated	7	y
OR952781.1_51_1226_1	Scotophilus_kuhlii_associated	7	y
OR952783.1_90_1277_1	Rhinolophus_sinicus_associated	10	y
OR952784.1_81_1271_1	Aselliscus_stoliczkanus_associated	10	y
OR952785.1_84_1280_1	Rhinolophus_pusillus_associated	9	y
OR952786.1_75_1262_1	Rhinolophus_pusillus_associated	10	y
OR952787.1_195_1382_1	Rhinolophus_pusillus_associated	10	y
OR952788.1_57_1250_1	Rhinolophus_pusillus_associated	10	y
OR952790.1_96_1286_1	Rhinolophus_pusillus_associated	9	y
OR952791.1_84_1286_1	Rhinolophus_pusillus_associated	9	y
OR952792.1_6_1199_1	Rhinolophus_sinicus_associated	10	y
OR952793.1_51_1265_1	Rhinolophus_sinicus_associated	10	y
OR952794.1_99_1286_1	Rhinolophus_sinicus_associated	10	y
OR952795.1_135_1325_1	Rhinolophus_sinicus_associated	10	y
OR952796.1_75_1256_1	Rhinolophus_sinicus_associated	10	y
OR952797.1_15_1214_1	Rhinolophus_sinicus_associated	7	y
OR952798.1_123_1313_1	Rhinolophus_sinicus_associated	9	y
OR952799.1_57_1253_1	Rhinolophus_affinis_associated	10	y
OR952800.1_87_1286_1	Rhinolophus_affinis_associated	8	y
OR952801.1_54_1247_1	Rhinolophus_affinis_associated	9	y
OR952802.1_102_1286_1	Rhinolophus_affinis_associated	9	y
OR952803.1_114_1310_1	Rhinolophus_affinis_associated	10	y
OR952804.1_75_1268_1	Rhinolophus_affinis_associated	10	y
OR952805.1_87_1286_1	Rhinolophus_affinis_associated	10	y
OR952806.1_84_1292_1	Rhinolophus_affinis_associated	10	y
OR952807.1_87_1259_1	Rhinolophus_associated	9	y
OR952808.1_51_1229_1	Tylonycteris_pachypus_associated	10	y
OR952809.1_60_1244_1	Tylonycteris_pachypus_associated	9	y
OR952810.1_36_1220_1	Tylonycteris_pachypus_associated	9	y
OR952812.1_270_1442_1	Tylonycteris_pachypus_associated	10	y
OR952813.1_60_1244_1	Tylonycteris_pachypus_associated	9	y
OR952815.1_51_1244_1	Tylonycteris_pachypus_associated	7	y
OR952817.1_96_1268_1	Tylonycteris_pachypus_associated	10	y
OR952821.1_51_1235_1	Tylonycteris_pachypus_associated	10	y
OR952823.1_87_1295_1	Pipistrellus_abramus_associated	9	y
OR952824.1_120_1304_1	Scotophilus_kuhlii_associated	9	y
OR952825.1_51_1223_1	Scotophilus_kuhlii_associated	8	y
OR952826.1_102_1316_1	Scotophilus_kuhlii_associated	9	y
OR952827.1_54_1247_1	Scotophilus_kuhlii_associated	9	y
OR952828.1_36_1223_1	Scotophilus_kuhlii_associated	8	y
OR952831.1_12_1190_1	Scotophilus_kuhlii_associated	7	y
OR952834.1_51_1223_1	Scotophilus_kuhlii_associated	9	y
OR952835.1_51_1217_1	Scotophilus_kuhlii_associated	9	y
OR952837.1_54_1253_1	Scotophilus_kuhlii_associated	8	y
OR952838.1_51_1235_1	Scotophilus_kuhlii_associated	7	y
OR952839.1_51_1220_1	Scotophilus_kuhlii_associated	8	y
OR952840.1_51_1226_1	Scotophilus_kuhlii_associated	9	y
OR952843.1_51_1241_1	Scotophilus_kuhlii_associated	8	y
OR952847.1_51_1238_1	Scotophilus_kuhlii_associated	7	y
OR952850.1_132_1328_1	Hipposideros_larvatus_associated	10	y
OR952851.1_84_1280_1	Hipposideros_larvatus_associated	10	y
OR952853.1_321_1505_1	Hipposideros_larvatus_associated	10	y
OR952854.1_84_1274_1	Hipposideros_larvatus_associated	10	y
OR952855.1_81_1265_1	Hipposideros_larvatus_associated	10	y
OR952856.1_204_1397_1	Hipposideros_larvatus_associated	10	y
OR952860.1_132_1334_1	Myotis_ricketti_associated	9	y
OR952861.1_69_1205_1	Myotis_ricketti_associated	8	y
OR952862.1_51_1187_1	Myotis_ricketti_associated	7	y
OR952863.1_51_1241_1	Hipposideros_armiger_associated	9	y
OR952864.1_9_1196_1	Miniopterus_pusillus_associated	10	y
OR952866.1_96_1268_1	Tylonycteris_robustula_associated	10	y
OR952867.1_51_1235_1	Tylonycteris_robustula_associated	9	y
OR952869.1_0_1175_1	Tylonycteris_robustula_associated	7	y
OR952871.1_93_1265_1	Tylonycteris_robustula_associated	10	y
OR952873.1_51_1229_1	Tylonycteris_robustula_associated	10	y
OR952874.1_45_1235_1	Tylonycteris_robustula_associated	8	y
OR952879.1_45_1223_1	Tylonycteris_robustula_associated	4	y
OR952880.1_0_1196_1	Tylonycteris_robustula_associated	9	y
OR952881.1_54_1265_1	Taphozous_melanopogon_associated	5	y
OR952882.1_54_1274_1	Taphozous_melanopogon_associated	4	y
OR952883.1_183_1391_1	Taphozous_melanopogon_associated	6	y
OR952884.1_63_1250_1	Taphozous_melanopogon_associated	6	y
OR952885.1_45_1235_1	Hipposideros_pomona_associated	10	y
OR952886.1_63_1253_1	Hipposideros_pomona_associated	10	y
OR952887.1_84_1274_1	Hipposideros_pomona_associated	10	y
OR952890.1_30_1220_1	Hipposideros_pomona_associated	10	y
OR952891.1_147_1331_1	Myotis_siligorensis_associated	5	y
OR952893.1_126_1328_1	Myotis_adversus_associated	9	y
OR952894.1_171_1361_1	Ia_io_associated	9	y
OR952895.1_120_1310_1	Ia_io_associated	9	y
OR952896.1_138_1361_1	Chaerephon_plicatus_associated	6	y
OR952899.1_198_1397_1	Rhinolophus_pusillus_associated	10	y
OR952900.1_78_1250_1	Rhinolophus_ferrumequinum_associated	9	y
OR952901.1_108_1295_1	Rhinolophus_ferrumequinum_associated	10	y
OR952902.1_72_1256_1	Rhinolophus_ferrumequinum_associated	9	y
OR952904.1_24_1217_1	Rhinolophus_ferrumequinum_associated	10	y
OR952905.1_78_1265_1	Rhinolophus_ferrumequinum_associated	10	y
OR952906.1_108_1304_1	Rhinolophus_ferrumequinum_associated	10	y
OR952907.1_102_1295_1	Rhinolophus_ferrumequinum_associated	10	y
OR952908.1_126_1322_1	Rhinolophus_ferrumequinum_associated	10	y
OR952909.1_9_1214_1	Rhinolophus_ferrumequinum_associated	9	y
OR952910.1_132_1301_1	Rhinolophus_ferrumequinum_associated	9	y
OR952911.1_114_1310_1	Rhinolophus_ferrumequinum_associated	6	y
OR952915.1_123_1325_1	Rhinolophus_sinicus_associated	10	y
OR952916.1_123_1304_1	Rhinolophus_sinicus_associated	9	y
OR952917.1_84_1283_1	Rhinolophus_sinicus_associated	8	y
OR952918.1_126_1325_1	Rhinolophus_affinis_associated	10	y
OR952919.1_99_1292_1	Rhinolophus_affinis_associated	9	y
OR952920.1_123_1325_1	Rhinolophus_associated	10	y
OR952921.1_75_1262_1	Rhinolophus_macrotis_associated	10	y
OR952922.1_84_1271_1	Hipposideros_armiger_associated	10	y
OR952924.1_117_1307_1	Rhinolophus_ferrumequinum_associated	10	y
OR952925.1_57_1235_1	Ia_io_associated	9	y
OR952928.1_57_1262_1	Rhinolophus_ferrumequinum_associated	10	y
OR952931.1_57_1250_1	Rhinolophus_sinicus_associated	9	y
PP296663.1_63_1292_1	Betapapillomavirus	9	y
PP711989.1_225_1451_1	Mops_associated	6	y
PP711990.1_141_1340_1	Rousettus_associated	4	y
